wing_index,group,landmark,error_px
58,<18,13,0.22102172672748566
58,<18,14,68.50934600830078
58,<18,15,0.9867457151412964
58,<18,16,0.6206994652748108
58,<18,17,0.6431962847709656
58,<18,18,0.9201647639274597
58,<18,19,18.292373657226562
59,<18,1,0.5042076110839844
59,<18,2,0.14634841680526733
59,<18,3,2.428791046142578
59,<18,4,1.494225025177002
59,<18,5,1.1656094789505005
59,<18,6,1.2395445108413696
59,<18,7,1.4423999786376953
59,<18,8,1.480010986328125
59,<18,9,1.588291883468628
59,<18,10,0.5769649744033813
59,<18,11,0.42605850100517273
59,<18,12,2.7669930458068848
59,<18,13,2.038316011428833
59,<18,14,1.5186086893081665
59,<18,15,0.9166069626808167
59,<18,16,1.1493346691131592
59,<18,17,1.820247769355774
59,<18,18,0.20301824808120728
59,<18,19,2.2402563095092773
60,<18,1,2.270256996154785
60,<18,2,2.0040647983551025
60,<18,3,0.901139497756958
60,<18,4,0.27872681617736816
60,<18,5,0.29895883798599243
60,<18,6,0.14179553091526031
60,<18,7,0.6885020732879639
60,<18,8,0.8041178584098816
60,<18,9,1.760154128074646
60,<18,10,0.26392918825149536
60,<18,11,1.0362309217453003
60,<18,12,2.14444899559021
60,<18,13,2.4706926345825195
60,<18,14,0.6925410032272339
60,<18,15,0.07854824513196945
60,<18,16,1.7992631196975708
60,<18,17,1.7602065801620483
60,<18,18,1.1012425422668457
60,<18,19,0.4007423222064972
67,<18,1,1.3671358823776245
67,<18,2,0.628280758857727
67,<18,3,0.8811360001564026
67,<18,4,1.6968504190444946
67,<18,5,1.4511831998825073
67,<18,6,0.874938428401947
67,<18,7,0.06925045698881149
67,<18,8,0.875376284122467
67,<18,9,1.3574777841567993
67,<18,10,0.7941263914108276
67,<18,11,1.5741153955459595
67,<18,12,0.23695680499076843
67,<18,13,1.7019670009613037
67,<18,14,1.2731554508209229
67,<18,15,4.425858020782471
67,<18,16,0.45475953817367554
67,<18,17,1.8509788513183594
67,<18,18,1.2584773302078247
67,<18,19,1.797559380531311
73,<18,1,23.694456100463867
73,<18,2,133.6316680908203
73,<18,3,99.25243377685547
73,<18,4,141.79473876953125
73,<18,5,72.32830047607422
73,<18,6,38.066131591796875
73,<18,7,64.73275756835938
73,<18,8,68.83736419677734
73,<18,9,167.86366271972656
73,<18,10,53.60981750488281
73,<18,11,105.77137756347656
73,<18,12,2.3238048553466797
73,<18,13,93.4614486694336
73,<18,14,54.6829833984375
73,<18,15,61.291168212890625
73,<18,16,31.586368560791016
73,<18,17,32.24775695800781
73,<18,18,39.166683197021484
73,<18,19,144.85992431640625
74,<18,1,117.18677520751953
74,<18,2,136.0116729736328
74,<18,3,200.3845672607422
74,<18,4,152.9352264404297
74,<18,5,77.81773376464844
74,<18,6,125.30743408203125
74,<18,7,130.9671630859375
74,<18,8,128.29762268066406
74,<18,9,46.78636169433594
74,<18,10,51.25849914550781
74,<18,11,25.9551944732666
74,<18,12,8.489898681640625
74,<18,13,33.656982421875
74,<18,14,140.9591827392578
74,<18,15,92.1785659790039
74,<18,16,136.2291259765625
74,<18,17,201.1985626220703
74,<18,18,185.13998413085938
74,<18,19,149.4099578857422
76,<18,1,99.28227233886719
76,<18,2,148.30162048339844
76,<18,3,129.92771911621094
76,<18,4,132.60873413085938
76,<18,5,73.09877014160156
76,<18,6,122.80411529541016
76,<18,7,117.76164245605469
76,<18,8,119.14287567138672
76,<18,9,109.59436798095703
76,<18,10,52.911651611328125
76,<18,11,78.14485168457031
76,<18,12,76.69149017333984
76,<18,13,66.63371276855469
76,<18,14,128.66055297851562
76,<18,15,88.06639099121094
76,<18,16,169.3963623046875
76,<18,17,39.40508270263672
76,<18,18,245.02963256835938
76,<18,19,328.12255859375
77,<18,1,19.002338409423828
77,<18,2,43.654151916503906
77,<18,3,63.741031646728516
77,<18,4,115.33768463134766
77,<18,5,151.8308868408203
77,<18,6,62.70310592651367
77,<18,7,41.26449203491211
77,<18,8,1.6652237176895142
77,<18,9,152.6871337890625
77,<18,10,54.29111099243164
77,<18,11,43.26068115234375
77,<18,12,41.384727478027344
77,<18,13,109.34430694580078
77,<18,14,57.328651428222656
77,<18,15,37.888370513916016
77,<18,16,1.3381545543670654
77,<18,17,3.434746265411377
77,<18,18,3.6022589206695557
77,<18,19,140.90518188476562
78,<18,1,0.7578988671302795
78,<18,2,1.5372905731201172
78,<18,3,0.9298694729804993
78,<18,4,0.9344061017036438
78,<18,5,1.837786078453064
78,<18,6,0.43584293127059937
78,<18,7,1.825321912765503
78,<18,8,1.091755747795105
78,<18,9,1.5941218137741089
78,<18,10,3.354552745819092
78,<18,11,0.8610373139381409
78,<18,12,1.051278829574585
78,<18,13,1.6183903217315674
78,<18,14,0.8876315355300903
78,<18,15,0.9661620259284973
78,<18,16,0.723293125629425
78,<18,17,0.8850916028022766
78,<18,18,1.001086950302124
78,<18,19,10.441015243530273
79,<18,1,0.6115810871124268
79,<18,2,0.5818324685096741
79,<18,3,1.4013181924819946
79,<18,4,0.9489671587944031
79,<18,5,4.989416599273682
79,<18,6,0.9045281410217285
79,<18,7,5.018253326416016
79,<18,8,0.41027700901031494
79,<18,9,2.042086601257324
79,<18,10,1.5474199056625366
79,<18,11,0.8406403064727783
79,<18,12,2.297482490539551
79,<18,13,1.456918478012085
79,<18,14,0.23708336055278778
79,<18,15,1.861660122871399
79,<18,16,0.9605854749679565
79,<18,17,0.864649772644043
79,<18,18,1.2287949323654175
79,<18,19,5.711318016052246
80,<18,1,21.671443939208984
80,<18,2,149.09024047851562
80,<18,3,117.9087905883789
80,<18,4,125.95832824707031
80,<18,5,3.066251754760742
80,<18,6,115.31681823730469
80,<18,7,101.16246032714844
80,<18,8,78.27751922607422
80,<18,9,88.60929107666016
80,<18,10,36.08651351928711
80,<18,11,1.8264319896697998
80,<18,12,1.4586613178253174
80,<18,13,47.7974853515625
80,<18,14,48.84199142456055
80,<18,15,90.48104858398438
80,<18,16,32.245689392089844
80,<18,17,31.371761322021484
80,<18,18,81.19249725341797
80,<18,19,149.69009399414062
85,<18,1,134.75721740722656
85,<18,2,22.0936279296875
85,<18,3,148.6552276611328
85,<18,4,57.85961151123047
85,<18,5,0.7160652279853821
85,<18,6,78.0303955078125
85,<18,7,32.783042907714844
85,<18,8,42.211158752441406
85,<18,9,31.1688289642334
85,<18,10,112.17459106445312
85,<18,11,2.1239161491394043
85,<18,12,0.7824162840843201
85,<18,13,35.42551803588867
85,<18,14,70.62535095214844
85,<18,15,1.967435359954834
85,<18,16,2.267007350921631
85,<18,17,1.3179398775100708
85,<18,18,36.719512939453125
85,<18,19,1.5141657590866089
86,<18,1,100.8309326171875
86,<18,2,28.69708251953125
86,<18,3,121.15179443359375
86,<18,4,96.72193908691406
86,<18,5,0.9303460717201233
86,<18,6,88.38372039794922
86,<18,7,91.79041290283203
86,<18,8,86.32386016845703
86,<18,9,75.91582489013672
86,<18,10,2.1387624740600586
86,<18,11,1.6560876369476318
86,<18,12,2.2481322288513184
86,<18,13,121.33477020263672
86,<18,14,149.80233764648438
86,<18,15,130.94866943359375
86,<18,16,94.22925567626953
86,<18,17,29.070051193237305
86,<18,18,133.5730438232422
86,<18,19,286.06036376953125
87,<18,1,1.797053337097168
87,<18,2,0.5030393600463867
87,<18,3,2.4982316493988037
87,<18,4,1.0116945505142212
87,<18,5,0.6280432343482971
87,<18,6,1.486020803451538
87,<18,7,1.0720943212509155
87,<18,8,2.072981595993042
87,<18,9,3.6126091480255127
87,<18,10,1.583776593208313
87,<18,11,1.761479139328003
87,<18,12,1.70866858959198
87,<18,13,1.2188352346420288
87,<18,14,0.28581538796424866
87,<18,15,0.7392436861991882
87,<18,16,1.6808640956878662
87,<18,17,2.1030712127685547
87,<18,18,1.5773022174835205
87,<18,19,1.370537519454956
88,<18,1,0.5353606939315796
88,<18,2,0.29922202229499817
88,<18,3,85.1307373046875
88,<18,4,51.834373474121094
88,<18,5,1.4112671613693237
88,<18,6,68.31153106689453
88,<18,7,66.96896362304688
88,<18,8,45.792205810546875
88,<18,9,33.53382873535156
88,<18,10,98.18936157226562
88,<18,11,1.0845749378204346
88,<18,12,0.6465299129486084
88,<18,13,78.96528625488281
88,<18,14,70.97711944580078
88,<18,15,1.7172518968582153
88,<18,16,168.82493591308594
88,<18,17,35.63798141479492
88,<18,18,0.7392337322235107
88,<18,19,1.1675480604171753
89,<18,1,3.7207257747650146
89,<18,2,2.706624746322632
89,<18,3,3.165902853012085
89,<18,4,4.62983512878418
89,<18,5,2.5251219272613525
89,<18,6,2.1389553546905518
89,<18,7,1.7438970804214478
89,<18,8,0.7026193141937256
89,<18,9,2.7202060222625732
89,<18,10,2.5694522857666016
89,<18,11,2.6409244537353516
89,<18,12,1.1024012565612793
89,<18,13,1.3398165702819824
89,<18,14,5.224168300628662
89,<18,15,3.089059591293335
89,<18,16,1.0006738901138306
89,<18,17,1.616986632347107
89,<18,18,0.7476968169212341
89,<18,19,8.651107788085938
90,<18,1,2.4343883991241455
90,<18,2,1.1662627458572388
90,<18,3,1.1818033456802368
90,<18,4,2.0158846378326416
90,<18,5,0.3543036878108978
90,<18,6,2.4356861114501953
90,<18,7,1.4383090734481812
90,<18,8,1.0322954654693604
90,<18,9,0.47259658575057983
90,<18,10,1.958743691444397
90,<18,11,0.8200802206993103
90,<18,12,0.6551054120063782
90,<18,13,5.5233259201049805
90,<18,14,2.6327574253082275
90,<18,15,0.06901510804891586
90,<18,16,1.1991052627563477
90,<18,17,1.8791401386260986
90,<18,18,0.6761699914932251
90,<18,19,1.7833447456359863
91,<18,1,1.6843743324279785
91,<18,2,1.9311606884002686
91,<18,3,3.1448538303375244
91,<18,4,1.1156586408615112
91,<18,5,0.6946006417274475
91,<18,6,0.4205883741378784
91,<18,7,1.2291803359985352
91,<18,8,2.215615749359131
91,<18,9,1.4731801748275757
91,<18,10,1.282450556755066
91,<18,11,0.7711946368217468
91,<18,12,1.123855471611023
91,<18,13,1.7668304443359375
91,<18,14,0.9703158140182495
91,<18,15,1.236411452293396
91,<18,16,1.1636532545089722
91,<18,17,1.4351292848587036
91,<18,18,2.2424542903900146
91,<18,19,1.1260474920272827
93,<18,1,0.27197450399398804
93,<18,2,1.9517805576324463
93,<18,3,1.6809182167053223
93,<18,4,1.5860191583633423
93,<18,5,2.111748695373535
93,<18,6,1.6837807893753052
93,<18,7,0.561473548412323
93,<18,8,0.9783183932304382
93,<18,9,2.0876290798187256
93,<18,10,3.1922006607055664
93,<18,11,1.289013385772705
93,<18,12,0.749748170375824
93,<18,13,3.024898052215576
93,<18,14,1.4418939352035522
93,<18,15,0.526803195476532
93,<18,16,3.624054193496704
93,<18,17,2.52522349357605
93,<18,18,2.237373113632202
93,<18,19,1.8172165155410767
96,<18,1,2.8969669342041016
96,<18,2,2.4085915088653564
96,<18,3,0.9664255380630493
96,<18,4,2.138939619064331
96,<18,5,1.7857036590576172
96,<18,6,1.9493119716644287
96,<18,7,0.9957151412963867
96,<18,8,0.6594948768615723
96,<18,9,1.5527653694152832
96,<18,10,1.0643417835235596
96,<18,11,1.9772026538848877
96,<18,12,0.6169537305831909
96,<18,13,5.207579135894775
96,<18,14,2.1645383834838867
96,<18,15,1.7556129693984985
96,<18,16,1.7898144721984863
96,<18,17,0.5709857940673828
